date,name,direction,entry_time,typ,long,short,debit,hold_val,contracts,pnl,equity_after,or_high,or_low,events,settle
2021-07-09,a_held,long,10:29,call,4340.0,4365.0,15.549999999999999,25.0,1,94.4,10094.4,4333.5,4324.45,A_up@10:28,4370.221
2021-07-12,a_held,long,10:38,call,4365.0,4390.0,15.200000000000001,21.287599999999657,1,60.78,10155.18,4356.6,4350.4,A_up@10:37,4386.2876
2021-07-16,a_held,short,10:19,put,4340.0,4315.0,2.65,12.458999999999833,11,1077.89,11233.07,4359.6,4352.5,A_down@10:18,4327.541
2021-07-19,a_held,short,10:02,put,4235.0,4210.0,6.1,0.0,5,-305.5,10927.57,4266.95,4254.7,A_down@10:01,4259.7656
2021-07-23,a_held,long,11:02,call,4385.0,4410.0,13.35,25.0,2,232.8,11160.37,4374.8,4370.1,A_up@11:01,4411.5083
2021-08-18,a_held,long,10:21,call,4445.0,4470.0,10.1,0.0,3,-303.3,10857.07,4434.1,4428.0,A_up@10:20|B@14:13|failed_C_down@14:18|C_down@15:36,4398.9175
2021-08-25,a_held,long,11:51,call,4490.0,4515.0,9.4,6.471700000000055,3,-88.15,10768.92,4481.2,4478.1,A_up@11:50,4496.4717
2021-08-30,a_held,long,10:33,call,4520.0,4545.0,10.05,7.991699999999582,3,-62.05,10706.87,4512.2,4507.6,A_up@10:32,4527.9917
2021-09-10,a_held,short,10:11,put,4490.0,4465.0,5.9,25.0,5,954.5,11661.37,4514.2,4502.5,A_down@10:10,4459.3027
2021-09-13,a_held,short,10:14,put,4455.0,4430.0,5.5,0.0,6,-330.6,11330.77,4487.8,4470.0,A_down@10:13,4469.6025
2021-10-01,a_held,short,10:24,put,4275.0,4250.0,6.0,0.0,5,-300.5,11030.27,4314.5,4292.7,A_down@10:23|B@11:38|failed_C_up@13:26|C_up@13:39,4354.8467
2021-10-11,a_held,long,10:02,call,4395.0,4420.0,13.999999999999998,0.0,2,-280.2,10750.07,4382.2,4370.5,A_up@10:01|B@13:22|failed_C_down@13:49|C_down@15:35,4361.1504
2021-10-15,a_held,long,10:15,call,4455.0,4480.0,13.7,17.204600000000028,2,69.89,10819.96,4446.4,4441.3,A_up@10:14,4472.2046
2021-11-15,a_held,short,11:51,put,4665.0,4640.0,2.7,0.0,11,-298.1,10521.86,4686.5,4681.6,A_down@11:50,4683.847
2021-12-03,a_held,short,09:59,put,4555.0,4530.0,8.6,15.389000000000124,3,203.37,10725.23,4601.5,4575.7,A_down@09:58,4539.611
2021-12-06,a_held,long,10:22,call,4580.0,4605.0,12.299999999999999,11.685999999999694,2,-12.48,10712.75,4566.2,4536.9,A_up@10:21,4591.686
2021-12-13,a_held,short,10:33,put,4675.0,4650.0,6.6,5.61869999999999,4,-39.65,10673.1,4702.4,4692.5,A_down@10:32,4669.3813
2021-12-27,a_held,long,10:30,call,4745.0,4770.0,18.0,25.0,1,69.9,10743.0,4732.4,4725.6,A_up@10:29,4794.2197
2022-01-03,a_held,short,09:56,put,4750.0,4725.0,3.6000000000000005,0.0,8,-288.8,10454.2,4775.3,4764.6,A_down@09:55|B@14:44,4797.5786
2022-01-10,a_held,short,10:02,put,4590.0,4565.0,6.199999999999999,0.0,5,-310.5,10143.7,4627.3,4607.5,A_down@10:01|B@14:07|failed_C_up@15:48|C_up@15:57,4672.3926
2022-01-19,a_held,short,10:33,put,4560.0,4535.0,5.699999999999999,25.0,5,964.5,11108.2,4593.4,4579.1,A_down@10:32,4533.023
2022-01-28,a_held,long,11:19,call,4350.0,4375.0,14.3,25.0,2,213.8,11322.0,4330.5,4286.2,A_up@11:18,4430.8403
2022-01-31,a_held,long,10:08,call,4440.0,4465.0,14.399999999999999,25.0,2,211.8,11533.8,4423.6,4400.4,A_up@10:07,4511.497
2022-02-18,a_held,short,11:10,put,4340.0,4315.0,8.0,0.0,4,-320.4,11213.4,4377.5,4360.4,A_down@11:09,4347.7515
2022-02-22,a_held,long,09:56,call,4350.0,4375.0,13.099999999999998,0.0,2,-262.2,10951.2,4326.7,4307.6,A_up@09:55|B@11:54|C_down@12:54,4303.674
2022-02-28,a_held,long,10:47,call,4355.0,4380.0,12.8,15.720999999999549,2,58.22,11009.42,4339.5,4325.8,A_up@10:46|B@14:04|failed_C_down@14:15|C_down@14:31|D@15:21,4370.721
2022-03-02,a_held,long,10:45,call,4350.0,4375.0,12.000000000000002,25.0,2,259.8,11269.22,4338.4,4319.9,A_up@10:44,4384.235
2022-03-11,a_held,short,10:09,put,4260.0,4235.0,8.499999999999998,25.0,3,494.7,11763.92,4286.5,4274.0,A_down@10:08,4202.4844
2022-03-14,a_held,long,10:20,call,4225.0,4250.0,12.1,0.0,2,-242.2,11521.72,4217.7,4194.2,A_up@10:19|B@12:09|C_down@13:00,4172.592
2022-03-18,a_held,long,10:10,call,4400.0,4425.0,15.7,9.350000000000364,2,-127.2,11394.52,4384.9,4375.7,A_up@10:09,4409.35
2022-03-28,a_held,short,11:55,put,4505.0,4480.0,3.3,0.0,10,-331.0,11063.52,4527.4,4519.1,A_down@11:54|B@14:10|C_up@14:58,4576.0137
2022-04-01,a_held,short,10:29,put,4510.0,4485.0,5.25,0.0,6,-315.6,10747.92,4534.0,4523.5,A_down@10:28,4546.3223
2022-04-04,a_held,long,10:04,call,4545.0,4570.0,15.1,25.0,2,197.8,10945.72,4532.6,4523.7,A_up@10:03,4584.599
2022-04-08,a_held,long,11:04,call,4500.0,4525.0,14.8,0.0,2,-296.2,10649.52,4481.3,4464.6,A_up@11:03,4489.486
2022-04-22,a_held,short,10:30,put,4330.0,4305.0,6.5,25.0,4,739.6,11389.12,4370.4,4341.3,A_down@10:29,4271.316
2022-04-25,a_held,short,10:07,put,4210.0,4185.0,8.3,0.0,4,-332.4,11056.72,4235.0,4217.8,A_down@10:06|B@10:31|C_up@14:29,4296.646
2022-05-02,a_held,long,10:34,call,4155.0,4180.0,13.000000000000002,0.0,2,-260.2,10796.52,4128.5,4094.1,A_up@10:33|B@12:58|failed_C_down@13:05|C_down@13:41|D@15:30,4146.836
2022-05-13,a_held,long,10:02,call,3990.0,4015.0,13.0,24.4074999999998,2,227.95,11024.47,3975.9,3960.3,A_up@10:01,4014.4075
2022-05-17,a_held,short,10:38,put,4040.0,4015.0,8.0,0.0,4,-320.4,10704.07,4062.5,4053.6,A_down@10:37|B@12:37|failed_C_up@13:18|C_up@15:08,4091.2825
2022-05-20,a_held,short,10:16,put,3910.0,3885.0,8.899999999999999,10.861300000000028,3,58.54,10762.61,3935.7,3919.2,A_down@10:15,3899.1387
2022-05-24,a_held,short,10:10,put,3890.0,3865.0,8.500000000000002,0.0,3,-255.3,10507.31,3932.0,3914.4,A_down@10:09|B@15:35|failed_C_up@15:44,3949.5288
2022-05-26,a_held,long,10:01,call,4030.0,4055.0,11.700000000000001,19.978500000000167,2,165.37,10672.68,4014.3,3986.9,A_up@10:00,4049.9785
