date,name,direction,entry_time,typ,long,short,debit,hold_val,contracts,pnl,equity_after,or_high,or_low,events,settle
2021-08-18,a_held,long,10:21,call,4445.0,4470.0,10.1,0.0,2,-202.2,9797.8,4434.1,4428.0,A_up@10:20|B@14:13|failed_C_down@14:18|C_down@15:36,4398.9175
2021-08-25,a_held,long,11:51,call,4490.0,4515.0,9.4,6.471700000000055,3,-88.15,9709.65,4481.2,4478.1,A_up@11:50,4496.4717
2021-09-10,a_held,short,10:11,put,4490.0,4465.0,5.9,25.0,4,763.6,10473.25,4514.2,4502.5,A_down@10:10,4459.3027
2021-09-13,a_held,short,10:14,put,4455.0,4430.0,5.5,0.0,5,-275.5,10197.75,4487.8,4470.0,A_down@10:13,4469.6025
2021-10-01,a_held,short,10:24,put,4275.0,4250.0,6.0,0.0,5,-300.5,9897.25,4314.5,4292.7,A_down@10:23|B@11:38|failed_C_up@13:26|C_up@13:39,4354.8467
2021-10-11,a_held,long,10:02,call,4395.0,4420.0,13.999999999999998,0.0,2,-280.2,9617.05,4382.2,4370.5,A_up@10:01|B@13:22|failed_C_down@13:49|C_down@15:35,4361.1504
2021-10-13,a_held,short,09:58,put,4330.0,4305.0,5.3,0.0,5,-265.5,9351.55,4352.2,4342.7,A_down@09:57|B@14:01,4364.745
2021-12-06,a_held,long,10:22,call,4580.0,4605.0,12.299999999999999,11.685999999999694,2,-12.48,9339.07,4566.2,4536.9,A_up@10:21,4591.686
2021-12-13,a_held,short,10:33,put,4675.0,4650.0,6.6,5.61869999999999,4,-39.65,9299.42,4702.4,4692.5,A_down@10:32,4669.3813
2022-03-02,a_held,long,10:45,call,4350.0,4375.0,12.000000000000002,25.0,2,259.8,9559.22,4338.4,4319.9,A_up@10:44,4384.235
2022-04-01,a_held,short,10:29,put,4510.0,4485.0,5.25,0.0,5,-263.0,9296.22,4534.0,4523.5,A_down@10:28,4546.3223
2022-04-08,a_held,long,11:04,call,4500.0,4525.0,14.8,0.0,1,-148.1,9148.12,4481.3,4464.6,A_up@11:03,4489.486
2022-06-08,a_held,long,09:57,call,4155.0,4180.0,10.5,0.0,2,-210.2,8937.92,4141.5,4128.1,A_up@09:56|B@12:39|failed_C_down@12:47|C_down@13:36,4117.768
2022-06-17,a_held,short,10:29,put,3645.0,3620.0,8.8,0.0,3,-264.3,8673.62,3685.8,3662.4,A_down@10:28|B@13:12,3667.25
2022-07-12,a_held,short,10:09,put,3830.0,3805.0,6.299999999999999,11.689499999999953,4,215.18,8888.8,3859.5,3841.6,A_down@10:08,3818.3105
2022-08-15,a_held,long,10:02,call,4265.0,4290.0,12.6,25.0,2,247.8,9136.6,4256.0,4251.5,A_up@10:01,4292.549
2022-08-30,a_held,short,10:13,put,4000.0,3975.0,8.5,11.428499999999985,3,87.55,9224.15,4038.6,4024.6,A_down@10:12,3988.5715
2022-09-06,a_held,short,09:58,put,3910.0,3885.0,9.200000000000001,4.523999999999887,3,-140.58,9083.57,3939.2,3922.9,A_down@09:57,3905.476
2022-09-15,a_held,long,09:58,call,3950.0,3975.0,9.7,0.0,2,-194.2,8889.37,3938.9,3923.5,A_up@09:57|B@10:50|failed_C_down@11:03|C_down@11:17|D@13:06,3906.1772
